,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
09:30 - 10:30,364.75,4.62,4759.0,734169,5.0,360.53200000000004
10:30 - 11:30,363.42,-1.33,4730.0,746155,2.4399999999999977,361.328
11:30 - 12:30,364.23,0.81,1402.0,200875,2.0,362.404
14:30 - 15:30,359.68,-3.01,2823.0,401097,5.490000000000009,362.61799999999994
15:30 - 16:30,362.1,2.42,2811.0,640998,2.7099999999999795,362.3539999999999
09:30 - 10:30,358.0,-4.1,4623.0,647378,4.409999999999968,361.1079999999999
10:30 - 11:30,358.02,0.02,2608.0,359585,1.7799999999999727,360.0979999999999
11:30 - 12:30,355.5,-2.52,2265.0,312235,3.819999999999993,358.65999999999997
14:30 - 15:30,358.0,0.11,1596.0,213834,2.410000000000025,357.41399999999993
15:30 - 16:30,359.75,1.75,1828.0,334784,2.259999999999991,357.75999999999993
09:30 - 10:30,364.0,4.25,4013.0,579318,2.0400000000000205,359.4599999999999
10:30 - 11:30,364.78,0.78,3057.0,465305,1.900000000000034,360.88399999999996
11:30 - 12:30,364.77,-0.01,2432.0,328906,1.5199999999999818,362.25999999999993
14:30 - 15:30,363.93,0.53,1402.0,191434,1.8600000000000136,364.1839999999999
15:30 - 16:30,363.9,-0.03,1711.0,309887,0.9700000000000273,364.0079999999999
09:30 - 10:30,370.5,6.6,6366.0,1039003,7.080000000000041,365.154
10:30 - 11:30,368.45,-2.05,2794.0,401663,2.819999999999993,366.03599999999994
11:30 - 12:30,370.52,2.07,1680.0,218391,2.609999999999957,367.4599999999999
14:30 - 15:30,371.81,0.36,2146.0,274222,1.1999999999999886,370.69999999999993
15:30 - 16:30,372.2,0.39,3123.0,472701,1.1200000000000045,371.4499999999999
09:30 - 10:30,369.75,-2.45,5642.0,897476,5.909999999999968,371.2959999999998
10:30 - 11:30,371.82,2.07,3243.0,438748,3.6200000000000045,371.40599999999984
11:30 - 12:30,372.6,0.78,1055.0,149823,1.3600000000000136,371.63599999999985
14:30 - 15:30,372.59,0.12,1253.0,148372,0.8999999999999773,372.3919999999997
15:30 - 16:30,372.16,-0.43,2186.0,349794,1.0200000000000387,372.4599999999997
09:30 - 10:30,371.56,-0.6,3445.0,553497,4.850000000000023,372.2519999999998
10:30 - 11:30,370.14,-1.42,1840.0,246366,3.0200000000000387,371.78399999999976
11:30 - 12:30,371.69,1.55,1210.0,176622,2.330000000000041,371.62799999999976
14:30 - 15:30,370.44,0.0,1602.0,215222,1.330000000000041,370.8319999999997
15:30 - 16:30,371.57,1.13,2067.0,342246,1.9300000000000068,371.11799999999977
08:30 - 09:30,369.11,-2.46,2686.0,430619,5.020000000000039,370.60199999999975
